nama_destinasi,alamat,website,google_link,longitude,latitude,review_total,average_rating,letak_provinsi,kategori
Pantai Sambolo Anyer,"Jl. Raya Anyer-Sirih, Bandulu, Banten 42112",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Sambolo+Anyer/@-6.0987262,105.8816995,15z/data=!3m1!4b1!4m6!3m5!1s0x2e4186b41d385d13:0xe444d56faee5686b!8m2!3d-6.0987264!4d105.8816995!16s%2Fg%2F11bxjcbngs?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.882,-6.099,4721,4.2,Banten,Wisata Alam
Tanjung Pasir Beach,"Tanjung Pasir, Teluknaga, Tangerang Regency, Banten 15510",Tidak Tersedia,"https://www.google.com/maps/place/Tanjung+Pasir+Beach/@-6.0135564,106.6790076,15z/data=!3m1!4b1!4m6!3m5!1s0x2e6a05019d1a601f:0xca017866b64aaebe!8m2!3d-6.0135565!4d106.6790076!16s%2Fg%2F11b7tq0yyg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",106.679,-6.014,6502,4,Banten,Wisata Alam
Pantai Bagedur,"Sukamanah, Malingping, Lebak Regency, Banten 42391",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Bagedur/@-6.8139804,105.9924372,15z/data=!3m1!4b1!4m6!3m5!1s0x2e42580db85e3ee1:0x785efd54ab2cebb!8m2!3d-6.8139805!4d105.9924372!16s%2Fg%2F121kwmy5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.992,-6.814,2139,4.3,Banten,Wisata Alam
Tanjung Lesung Beach,Banten,Tidak Tersedia,"https://www.google.com/maps/place/Tanjung+Lesung+Beach/@-6.4790227,105.6558938,18z/data=!3m1!4b1!4m6!3m5!1s0x2e43c9b86a346b9d:0xec0d502e94af8656!8m2!3d-6.4786315!4d105.6557853!16s%2Fg%2F11fj45fq1n?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.656,-6.479,2187,4.4,Banten,Wisata Alam
Pantai Pasir Putih Sirih,"Jl. Raya Karang Bolong, Kamasan, Kec. Cinangka, Kabupaten Serang, Banten 42167",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Pasir+Putih+Sirih/@-6.1115388,105.8788813,15z/data=!3m1!4b1!4m6!3m5!1s0x2e4186ccfe5076b7:0x6d2bc1633d7aaf95!8m2!3d-6.1115389!4d105.8788813!16s%2Fg%2F11bc7qbtn3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.879,-6.112,3739,4.3,Banten,Wisata Alam
Pantai Marina,"Karang Suraga, Cinangka, Serang Regency, Banten",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Marina/@-6.1438888,105.8561111,15z/data=!3m1!4b1!4m6!3m5!1s0x2e4180c0f2619feb:0x47592da78f6ec63e!8m2!3d-6.1438889!4d105.8561111!16s%2Fg%2F1234bmns?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.856,-6.144,126,3.9,Banten,Wisata Alam
pantai pasir putih,"Bandulu, Anyar, Serang Regency, Banten",http://www.penginapananyer.com/,"https://www.google.com/maps/place/pantai+pasir+putih/@-6.0881045,105.8832436,15z/data=!3m1!4b1!4m6!3m5!1s0x2e4186a94ac02ee7:0xcd83481736a2dc5b!8m2!3d-6.0881046!4d105.8832436!16s%2Fg%2F11d_7sy92v?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.883,-6.088,237,4.3,Banten,Wisata Alam
Pantai Florida 2 Anyer,"Jl. Raya Anyer-Sirih, Sindanglaya, Serang, Kabupaten Serang, Banten 42167",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Florida+2+Anyer/@-6.1317883,105.8644861,15z/data=!3m1!4b1!4m6!3m5!1s0x2e4180d0aa3fb905:0xa36c9f30e6101d78!8m2!3d-6.1317885!4d105.8644861!16s%2Fg%2F11b8_wr4v6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.864,-6.132,3952,4.2,Banten,Wisata Alam
Pantai Karang Serang,"Karang Serang, Sukadiri, Tangerang Regency, Banten 15330",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Karang+Serang/@-6.0236339,106.5495401,15z/data=!3m1!4b1!4m6!3m5!1s0x2e6a077468de432b:0x14523dc6d51c30fc!8m2!3d-6.023634!4d106.5495401!16s%2Fg%2F11byyq73bd?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",106.550,-6.024,149,3.6,Banten,Wisata Alam
Carita Beach,Banten,Tidak Tersedia,"https://www.google.com/maps/place/Carita+Beach/@-6.2960598,105.8394729,17z/data=!3m1!4b1!4m6!3m5!1s0x2e422dae6ebd5089:0xe2ca5ee81785330a!8m2!3d-6.2959861!4d105.8396249!16s%2Fg%2F122qxysb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.839,-6.296,1585,4.3,Banten,Wisata Alam
Sawarna Beach,Banten,http://www.pantaisawarna.com/,"https://www.google.com/maps/place/Sawarna+Beach/@-6.9849407,106.3057541,16z/data=!3m1!4b1!4m6!3m5!1s0x2e429030f0d704a7:0xdf552aa51e23e199!8m2!3d-6.9844878!4d106.3068282!16s%2Fg%2F1ptxb4qc7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",106.306,-6.985,6403,4.5,Banten,Wisata Alam
Pantai Kelapa Tujuh,"Suralaya, Pulomerak, Cilegon, Banten",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Kelapa+Tujuh/@-5.894652,106.0196646,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4196e07c5d723b:0x52d5016b767588a7!8m2!3d-5.8932269!4d106.0217837!16s%2Fg%2F1q62hcd00?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",106.020,-5.895,204,3.5,Banten,Wisata Alam
Pantai Sambolo 2,"Jl. Raya Anyer-Sirih, Bandulu, Kec. Anyar, Kabupaten Serang, Banten 42166",https://pantaisamboloanyer.com/,"https://www.google.com/maps/place/Pantai+Sambolo+2/@-6.0878442,105.8834091,15z/data=!3m1!4b1!4m6!3m5!1s0x2e4186a930eadc63:0xf4fa4b3b5ac474bc!8m2!3d-6.0878444!4d105.8834091!16s%2Fg%2F1pzs849cz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.883,-6.088,5007,4.2,Banten,Wisata Alam
Karang Taraje Beach,"285G+MFQ, Sawarna, Bayah, Lebak Regency, Banten 42393",http://www.wisatasawarna.com/,"https://www.google.com/maps/place/Karang+Taraje+Beach/@-6.9907843,106.3262475,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4290141ba1cf59:0xb1edaf09255ac35c!8m2!3d-6.9907843!4d106.3262475!16s%2Fg%2F11b7v_616l?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",106.326,-6.991,1062,4.6,Banten,Wisata Alam
Karang Bolong Beach,"Karang Suraga, Cinangka, Serang Regency, Banten",Tidak Tersedia,"https://www.google.com/maps/place/Karang+Bolong+Beach/@-6.1661637,105.8525426,17z/data=!3m1!4b1!4m6!3m5!1s0x2e422a0aab375d71:0xac68707699dcbf57!8m2!3d-6.1661827!4d105.8527907!16s%2Fm%2F0_84ckb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.853,-6.166,1260,4.4,Banten,Wisata Alam
Pantai Anyer,"Jl. Raya Karang Bolong, Bandulu, Kec. Anyar, Kabupaten Serang, Banten 42166",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Anyer/@-6.088192,105.8837856,15z/data=!3m1!4b1!4m6!3m5!1s0x2e4186aeccb6c0f1:0x1f555b24c077b26f!8m2!3d-6.0881922!4d105.8837856!16s%2Fg%2F11fy193ldr?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.884,-6.088,1036,4.4,Banten,Wisata Alam
Pantai Tanjung Tum Anyer,"Jl. Raya Labuan, Cikoneng, Kec. Anyar, Pandeglang, Banten 42166",http://www.survive-giezag.org/,"https://www.google.com/maps/place/Pantai+Tanjung+Tum+Anyer/@-6.0628466,105.8954539,15z/data=!3m1!4b1!4m6!3m5!1s0x2e418414c8aca425:0x46ce34e0f82f18ac!8m2!3d-6.0628467!4d105.8954539!16s%2Fg%2F11b6sn9kfx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.895,-6.063,727,4.2,Banten,Wisata Alam
Jambu Beach,Banten,Tidak Tersedia,"https://www.google.com/maps/place/Jambu+Beach/@-6.1881374,105.8414952,17z/data=!3m1!4b1!4m6!3m5!1s0x2e422a42c7c21bf5:0x8cda4a0d35fddad5!8m2!3d-6.1879111!4d105.8416896!16s%2Fg%2F11cp74g5xc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.841,-6.188,189,4.2,Banten,Wisata Alam
Pantai Pasir Putih Florida Indah Anyer,"Jalan Raya Karang Bolong, Sindanglaya, Cinangka, Sindanglaya, Kec. Cinangka, Kabupaten Serang, Banten 14310",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Pasir+Putih+Florida+Indah+Anyer/@-6.1288411,105.8653979,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4180d9fb4476b9:0xa3c12cd019ae4ee5!8m2!3d-6.1288411!4d105.8653979!16s%2Fg%2F11b_3g81mh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.865,-6.129,4934,4.2,Banten,Wisata Alam
Pantai Sambolo 1 Anyer Serang Banten,"Jl. Raya Anyer-Sirih, Bandulu, Kec. Anyar, Kabupaten Serang, Banten 42112",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Sambolo+1+Anyer+Serang+Banten/@-6.0986643,105.8820584,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4187cd74737d09:0x1849584366f5e8d1!8m2!3d-6.0986643!4d105.8820584!16s%2Fg%2F11gh9q8rz5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.882,-6.099,2192,4.3,Banten,Wisata Alam
Tanjung Layar Beach,"Pesona Sawarna Komplek Tanjung Layar Blok Ciantir, Sawarna, Kec. Bayah, Kabupaten Lebak, Banten 42393",http://www.wisatasawarna.com/,"https://www.google.com/maps/place/Tanjung+Layar+Beach/@-6.9939444,106.3071713,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4290365ecbaad7:0xe40b1b4e2a603902!8m2!3d-6.9939444!4d106.3071713!16s%2Fg%2F11g71y735v?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",106.307,-6.994,5961,4.6,Banten,Wisata Alam
Gopek Karangantu Beach,"Jl. Pelelangan Ikan Karangantu, Banten, Kec. Kasemen, Kota Serang, Banten 42191",Tidak Tersedia,"https://www.google.com/maps/place/Gopek+Karangantu+Beach/@-6.0255765,106.1655155,17z/data=!3m1!4b1!4m6!3m5!1s0x2e41f2d1a26b88b5:0xcadf06c747393b!8m2!3d-6.0255765!4d106.1655155!16s%2Fg%2F11ddyk1mv6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",106.166,-6.026,3719,4.4,Banten,Wisata Alam
Pantai Carita Anyer,"Sukajadi, Carita, Pandeglang Regency, Banten 42264",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Carita+Anyer/@-6.3059223,105.84123,15z/data=!3m1!4b1!4m6!3m5!1s0x2e422dae1efccfe9:0xb3a862fb459744e4!8m2!3d-6.3059224!4d105.84123!16s%2Fg%2F11b6t85rp5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.841,-6.306,1096,4.3,Banten,Wisata Alam
Pantai Munir,"Jl. pantai munir desa pulo panjang, kecamatan, Kec. Puloampel, Kabupaten Serang, Banten 42191",http://facebook.com/PantaiMunir,"https://www.google.com/maps/place/Pantai+Munir/@-5.9217344,106.1393727,15z/data=!3m1!4b1!4m6!3m5!1s0x2e4193b0d528b76f:0x361cc58fb368a475!8m2!3d-5.9217345!4d106.1393727!16s%2Fg%2F11gr1_ts9b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",106.139,-5.922,61,4.4,Banten,Wisata Alam
Pantai Batu Saung,"Kawasan Wisata, Jl. Raya Karang Bolong, Km. 138, Kp. Teneng Desa Cinangka, Kecamatan Cinangka, Kec. Anyar, Kabupaten Serang, Banten 42167",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Batu+Saung/@-6.1391379,105.8632335,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4180c5c68fa9d5:0xa395563677e2d1ec!8m2!3d-6.1391379!4d105.8632335!16s%2Fg%2F11dxdzxlq5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.863,-6.139,3372,4.4,Banten,Wisata Alam
Pantai Pasir Putih,"Marga Mulya, Mauk, Tangerang Regency, Banten 15330",Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Pasir+Putih/@-6.0282571,106.524324,15z/data=!3m1!4b1!4m6!3m5!1s0x2e41fd8f7d71fc15:0xb693f6adad99db6d!8m2!3d-6.0282572!4d106.524324!16s%2Fg%2F11gg64j42d?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",106.524,-6.028,187,3.7,Banten,Wisata Alam
Pantai Kerang,Banten,Tidak Tersedia,"https://www.google.com/maps/place/Pantai+Kerang/@-6.5237902,105.7400807,15z/data=!3m1!4b1!4m6!3m5!1s0x2e43b50be26312c1:0xaf47c523f26b6766!8m2!3d-6.5230402!4d105.7390792!16s%2Fg%2F1pv6ytq_k?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",105.740,-6.524,84,4,Banten,Wisata Alam
